INFO 2021-08-10 09:17:11,229 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 637 Watching for file changes with StatReloader
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/coreapi/codecs/base.py first seen with mtime 1628446330.9936304
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/auth/password_validation.py first seen with mtime 1628446504.4870665
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/shutil.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/contenttypes/forms.py first seen with mtime 1628446504.53035
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/struct.py first seen with mtime 1627394833.0
DEBUG 2021-08-10 09:31:23,499 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/coreapi/compat.py first seen with mtime 1628446330.9928548
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/db/backends/base/client.py first seen with mtime 1628446504.8480175
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/contrib/admin/options.py first seen with mtime 1628446504.3270187
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/xml/parsers/expat.py first seen with mtime 1627394842.0
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/coreapi/__init__.py first seen with mtime 1628446330.992383
DEBUG 2021-08-10 09:31:23,500 /opt/anaconda3/envs/practice/lib/python3.7/site-packages/django/utils/autoreload.py 379 File /opt/anaconda3/envs/practice/lib/python3.7/site-packages/yaml/constructor.py first seen with mtime 1628447788.7682958
